path,split,true_label,predicted_label,top3,top1_score,top2_score,margin,outcome,collapse_path,latency_ms,any_baseline_correct,baseline_right_hl_wrong,hl_right_all_baselines_wrong
data\phase2\val\golden_retriever\n02099601_279.JPEG,val,golden_retriever,school_bus,"[""school_bus"", ""brown_bear"", ""mushroom""]",0.575023571273094,0.5142236716107589,0.06079989966233512,miss,golden_retriever->school_bus,100.13150004670024,False,False,False
data\phase2\val\golden_retriever\n02099601_28.JPEG,val,golden_retriever,banana,"[""banana"", ""mushroom"", ""school_bus""]",0.666599618487732,0.4992269282768344,0.16737269021089757,miss,golden_retriever->banana,68.23360011912882,False,False,False
data\phase2\val\golden_retriever\n02099601_280.JPEG,val,golden_retriever,banana,"[""banana"", ""mushroom"", ""golden_retriever""]",0.7032454640350272,0.4372213973714862,0.266024066663541,top3_rescue,golden_retriever->banana,68.95150011405349,True,True,False
data\phase2\val\golden_retriever\n02099601_281.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""king_penguin"", ""teapot""]",0.5594180318252892,0.5182742634218178,0.04114376840347134,correct,golden_retriever->golden_retriever,76.5790999867022,True,False,False
data\phase2\val\golden_retriever\n02099601_282.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""teapot""]",0.5875313793995344,0.4162767405556253,0.17125463884390907,correct,golden_retriever->golden_retriever,75.98139997571707,True,False,False
data\phase2\val\golden_retriever\n02099601_283.JPEG,val,golden_retriever,king_penguin,"[""king_penguin"", ""jellyfish"", ""sports_car""]",0.5304662194009118,0.4505664149573455,0.07989980444356626,miss,golden_retriever->king_penguin,83.49089999683201,False,False,False
data\phase2\val\golden_retriever\n02099601_284.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""school_bus""]",0.5204515956050175,0.4877420826770987,0.03270951292791885,top3_rescue,golden_retriever->banana,67.94680003076792,True,True,False
data\phase2\val\golden_retriever\n02099601_285.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""teapot"", ""banana""]",0.5716851844527182,0.5045494345504914,0.06713574990222682,correct,golden_retriever->golden_retriever,73.31599993631244,False,False,True
data\phase2\val\golden_retriever\n02099601_286.JPEG,val,golden_retriever,school_bus,"[""school_bus"", ""mushroom"", ""golden_retriever""]",0.5478770800682398,0.5339846923446108,0.013892387723628996,top3_rescue,golden_retriever->school_bus,94.40729999914765,False,False,False
data\phase2\val\golden_retriever\n02099601_287.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""school_bus""]",0.6143502049778784,0.5212788625521303,0.0930713424257481,top3_rescue,golden_retriever->banana,77.77859992347658,True,True,False
data\phase2\val\golden_retriever\n02099601_288.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""brown_bear""]",0.5191990956750615,0.4565643357272267,0.0626347599478348,correct,golden_retriever->golden_retriever,82.2012999560684,True,False,False
data\phase2\val\golden_retriever\n02099601_289.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""king_penguin"", ""teapot""]",0.5360600802796589,0.5123723685747871,0.023687711704871828,correct,golden_retriever->golden_retriever,71.03609992191195,False,False,True
data\phase2\val\golden_retriever\n02099601_29.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""orange""]",0.551880977910972,0.5344626667854399,0.01741831112553216,correct,golden_retriever->golden_retriever,71.69570005498827,True,False,False
data\phase2\val\golden_retriever\n02099601_290.JPEG,val,golden_retriever,teapot,"[""teapot"", ""king_penguin"", ""golden_retriever""]",0.505421003553279,0.5010574082913676,0.004363595261911435,top3_rescue,golden_retriever->teapot,72.98470009118319,True,True,False
data\phase2\val\golden_retriever\n02099601_291.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""school_bus""]",0.5157886460742999,0.5077881806473247,0.00800046542697519,correct,golden_retriever->golden_retriever,76.0737000964582,True,False,False
data\phase2\val\golden_retriever\n02099601_292.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""brown_bear""]",0.6287534475962313,0.48572982539179627,0.14302362220443504,top3_rescue,golden_retriever->banana,75.85819996893406,True,True,False
data\phase2\val\golden_retriever\n02099601_293.JPEG,val,golden_retriever,school_bus,"[""school_bus"", ""brown_bear"", ""golden_retriever""]",0.5055900925215302,0.48101240663665995,0.02457768588487025,top3_rescue,golden_retriever->school_bus,69.04279999434948,True,True,False
data\phase2\val\golden_retriever\n02099601_294.JPEG,val,golden_retriever,mushroom,"[""mushroom"", ""golden_retriever"", ""banana""]",0.5873651283112221,0.586823249620853,0.0005418786903691464,top3_rescue,golden_retriever->mushroom,67.43809999898076,False,False,False
data\phase2\val\golden_retriever\n02099601_295.JPEG,val,golden_retriever,king_penguin,"[""king_penguin"", ""sports_car"", ""mushroom""]",0.4137433285972589,0.4103163399991431,0.003426988598115799,miss,golden_retriever->king_penguin,71.35000010021031,False,False,False
data\phase2\val\golden_retriever\n02099601_296.JPEG,val,golden_retriever,banana,"[""banana"", ""school_bus"", ""mushroom""]",0.7131893133944394,0.49166227428184966,0.2215270391125897,miss,golden_retriever->banana,63.72250011190772,False,False,False
data\phase2\val\golden_retriever\n02099601_297.JPEG,val,golden_retriever,banana,"[""banana"", ""school_bus"", ""golden_retriever""]",0.4751500636394015,0.40951946472927003,0.06563059891013145,top3_rescue,golden_retriever->banana,77.05580000765622,True,True,False
data\phase2\val\golden_retriever\n02099601_298.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""king_penguin"", ""teapot""]",0.5114857127961614,0.468847089994886,0.042638622801275394,correct,golden_retriever->golden_retriever,70.72079996578395,False,False,True
data\phase2\val\golden_retriever\n02099601_299.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""mushroom""]",0.5710480218527,0.46492170830561313,0.10612631354708685,top3_rescue,golden_retriever->banana,76.83320017531514,True,True,False
data\phase2\val\golden_retriever\n02099601_3.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""teapot""]",0.5807464556167989,0.5244736303268731,0.05627282528992583,top3_rescue,golden_retriever->banana,78.82900000549853,True,True,False
data\phase2\val\golden_retriever\n02099601_30.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""school_bus""]",0.539830998696373,0.5105270562465581,0.029303942449814824,correct,golden_retriever->golden_retriever,70.13829983770847,True,False,False
data\phase2\val\golden_retriever\n02099601_300.JPEG,val,golden_retriever,orange,"[""orange"", ""banana"", ""golden_retriever""]",0.6169190773004429,0.5433034148289675,0.07361566247147544,top3_rescue,golden_retriever->orange,72.45330000296235,False,False,False
data\phase2\val\golden_retriever\n02099601_301.JPEG,val,golden_retriever,sports_car,"[""sports_car"", ""golden_retriever"", ""teapot""]",0.38152919873556457,0.37978325862451306,0.0017459401110515027,top3_rescue,golden_retriever->sports_car,73.66189989261329,False,False,False
data\phase2\val\golden_retriever\n02099601_302.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""orange""]",0.7159567478002571,0.47850020934918974,0.23745653845106734,top3_rescue,golden_retriever->banana,70.34989981912076,True,True,False
data\phase2\val\golden_retriever\n02099601_303.JPEG,val,golden_retriever,king_penguin,"[""king_penguin"", ""sports_car"", ""brown_bear""]",0.524342430826727,0.45893841051877626,0.06540402030795078,miss,golden_retriever->king_penguin,67.69730011001229,False,False,False
data\phase2\val\golden_retriever\n02099601_304.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""orange""]",0.5359631290521116,0.5217681094338698,0.014195019618241878,top3_rescue,golden_retriever->banana,70.53930009715259,True,True,False
data\phase2\val\golden_retriever\n02099601_305.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""teapot""]",0.6001269115895602,0.5303566967930886,0.06977021479647161,top3_rescue,golden_retriever->banana,68.60579992644489,True,True,False
data\phase2\val\golden_retriever\n02099601_306.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""school_bus"", ""brown_bear""]",0.4697304272672456,0.46108540734987535,0.008645019917370267,correct,golden_retriever->golden_retriever,73.13179993070662,True,False,False
data\phase2\val\golden_retriever\n02099601_307.JPEG,val,golden_retriever,king_penguin,"[""king_penguin"", ""brown_bear"", ""sports_car""]",0.5380725480375775,0.4872220299430901,0.05085051809448743,miss,golden_retriever->king_penguin,73.74910009093583,False,False,False
data\phase2\val\golden_retriever\n02099601_308.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""brown_bear""]",0.5887111755351929,0.5030675997555105,0.0856435757796824,top3_rescue,golden_retriever->banana,79.75209993310273,True,True,False
data\phase2\val\golden_retriever\n02099601_309.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""school_bus""]",0.6466187779391215,0.49386974286096613,0.15274903507815535,top3_rescue,golden_retriever->banana,71.67239999398589,True,True,False
data\phase2\val\golden_retriever\n02099601_31.JPEG,val,golden_retriever,king_penguin,"[""king_penguin"", ""golden_retriever"", ""brown_bear""]",0.5047591820907881,0.4485036146406629,0.056255567450125166,top3_rescue,golden_retriever->king_penguin,76.93880004808307,False,False,False
data\phase2\val\golden_retriever\n02099601_310.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""king_penguin"", ""sports_car""]",0.5213166761880468,0.4821537972629356,0.039162878925111166,correct,golden_retriever->golden_retriever,84.78459995239973,True,False,False
data\phase2\val\golden_retriever\n02099601_311.JPEG,val,golden_retriever,banana,"[""banana"", ""golden_retriever"", ""orange""]",0.6048327944732035,0.5418423253883791,0.06299046908482442,top3_rescue,golden_retriever->banana,69.99079999513924,True,True,False
data\phase2\val\golden_retriever\n02099601_312.JPEG,val,golden_retriever,banana,"[""banana"", ""brown_bear"", ""golden_retriever""]",0.6312681697983805,0.39261117817290986,0.23865699162547066,top3_rescue,golden_retriever->banana,77.17079995200038,True,True,False
data\phase2\val\golden_retriever\n02099601_313.JPEG,val,golden_retriever,banana,"[""banana"", ""brown_bear"", ""school_bus""]",0.4243567179974954,0.4038036022287417,0.020553115768753738,miss,golden_retriever->banana,74.04249999672174,False,False,False
data\phase2\val\golden_retriever\n02099601_314.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""teapot""]",0.566380604077397,0.4615490809691568,0.10483152310824018,correct,golden_retriever->golden_retriever,84.94160021655262,True,False,False
data\phase2\val\golden_retriever\n02099601_315.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""teapot"", ""banana""]",0.5612254183773346,0.415903295307095,0.14532212307023962,correct,golden_retriever->golden_retriever,85.10480006225407,True,False,False
data\phase2\val\golden_retriever\n02099601_316.JPEG,val,golden_retriever,golden_retriever,"[""golden_retriever"", ""banana"", ""teapot""]",0.5522674823660553,0.4615353873437801,0.0907320950222752,correct,golden_retriever->golden_retriever,82.94359990395606,True,False,False
